name_launch,date_utc,success,payloads,rocket,upcoming,launchpad,name_payload,mass_kg,type,orbit,customers
SES-22,2022-06-29 21:04:00+00:00,True,6243b93caf52800c6e91926f,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,SES-22,3500.0,Satellite,MEO,SES
Starlink 4-21 (v1.5),2022-07-07 13:11:00+00:00,True,630bccc6d36448026ab01639,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-21 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 3-1 (v1.5),2022-07-11 01:39:00+00:00,True,630bccd6d36448026ab0163a,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,Starlink 3-1 (v1.5),13260.0,Satellite,VLEO,SpaceX
CRS-25,2022-07-15 00:44:00+00:00,True,6243b835af52800c6e91926d,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,CRS-25,4701.5,Dragon 2.0,ISS,NASA (CRS)
Starlink 4-22 (v1.5),2022-07-17 14:50:00+00:00,True,630bce10d36448026ab0163b,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-22 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 3-2 (v1.5),2022-07-21 17:13:00+00:00,True,630bce49d36448026ab0163c,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,Starlink 3-2 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-25 (v1.5),2022-07-24 00:00:00+00:00,True,630bce79d36448026ab0163d,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-25 (v1.5),13260.0,Satellite,VLEO,SpaceX
KPLO,2022-08-04 23:08:00+00:00,True,630bcfe1d36448026ab01641,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,KPLO,678.0,Satellite,TLI,KARI
Starlink 4-26 (v1.5),2022-08-09 22:57:00+00:00,True,630bcea1d36448026ab0163e,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-26 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 3-3 (v1.5),2022-08-12 21:30:00+00:00,True,630bceb8d36448026ab01640,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,Starlink 3-3 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-27 (v1.5),2022-08-19 19:24:00+00:00,True,630bceadd36448026ab0163f,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-27 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-23 (v1.5),2022-08-28 02:22:00+00:00,True,631614d7ffc78f3b85670716,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-23 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 3-4 (v1.5),2022-08-31 05:40:00+00:00,True,630f63bf18702d4844fb5391,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,Starlink 3-4 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05 02:09:00+00:00,True,631614e9ffc78f3b85670717,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-20 (v1.5),13260.0,Satellite,VLEO,SpaceX
